categories,img,id,product,description,price
mix bodycare ,img/products/aloeveragel.jpg,1,Aloe Vera Gel,No Desc,0
mix bodycare ,img/products/facialscrub.jpg,2,Body Scrub,No Desc,0
mix bodycare ,img/products/watermelon1.jpg,3,Designer Soap,No Desc,0
mix bodycare ,img/products/kokamfootbalm.jpg,4,Footbalm,No Desc,0
mix bodycare ,img/products/handandfoot.jpg,5,Hand & Foot Spa Kit,No Desc,0
mix bodycare ,img/products/maitri1.jpg,6,Maitri Soap,No Desc,0
mix bodycare ,img/products/moisturiser.jpg,7,Moisturizer,No Desc,0
mix bodycare ,img/products/veggie1.jpg,8,Veggie Soap,No Desc,0
mix bodycare ,img/products/na.jpg,9,Pearl Soap,No Desc,0
mix bodycare ,img/products/sudha.jpg,10,Sudha Toothpaste,No Desc,0
mix bodycare ,img/products/na.jpg,11,Sanitary Napkins,No Desc,0
mix bodycare ,img/products/na.jpg,12,Hair Removal Powder,Veggie Hair removal powder is 100% ayurvedic and removes even the smallest hair. ,0
mix haircare  ,img/products/conditioner.jpg,13,Conditioner,No Desc,0
mix haircare  ,img/products/hairserum.jpg,14,Hair Serum,No Desc,0
mix haircare  ,img/products/hairspa.jpg,15,Hair Spa,No Desc,0
mix haircare  ,img/products/hairvitaliser.jpg,16,Hair Vitaliser,No Desc,0
mix haircare  ,img/products/hairdye.jpg,17,Hair Color Shampoo,No Desc,0
mix cosmetics   ,img/products/na.jpg,18,Single Stroke Nail color,"It contains a mix of subtle and bold shades, which can be worn according to the occasion. You can choose from the most loved nail color categories such single stoke, Glossy, matt, glitter, metalic",0
mix cosmetics   ,img/products/na.jpg,19,VT Lipstick,"La-promise veggie lipstick is 100% pure herbal and vegetarian range of moisturizing lip color available in 35 rich, sophisticated shades including peaches, pink, and nutty browns. It contains caster boil, parafin wax, beez wax, LLP oil, preservatives oil, pigments. ",0
mix cosmetics   ,img/products/na.jpg,20,Compact Powder,"la-promise veggie compact powder for dry skin has satiny, smooth texture and adds glow and radiance to the skin , for combination skin reduces porees, evens out skin tone, controls excess oil and sets makeup. This compact powder for fair skin can be used dry as a compact to get naturally flawless skin. it includes talc powder, keoline, titanium dioxide, binder, flavour. ",0
mix cosmetics   ,img/products/na.jpg,21,Lipstick,No Desc,0
mix cosmetics   ,img/products/na.jpg,22,Lip Balm,"la-promise veggie lip balm contains highly active moisturising fromula along with natural fruit extracts to care and nourish the lips instantly . Helps to repair dry, cracked and chapped lips and makes them look healthy and smooth.",0
mix cosmetics   ,img/products/na.jpg,23,Lipgloss ,No Desc,0
mix cosmetics   ,img/products/na.jpg,24,Nail color,No Desc,0
mix cosmetics   ,img/products/na.jpg,25,Matt finish Nail color,No Desc,0
mix cosmetics   ,img/products/na.jpg,26,Glitter Nail color,No Desc,0
mix cosmetics   ,img/products/na.jpg,27,Nail color Remover ,Removes nail color quickly and gently. ,0
mix cosmetics   ,img/products/na.jpg,28,Foundation ,"Veggie La- Promise comfort liquid foundation is long wear and provides effortless spread renders flawless, natural finish, allow skin to breath without clogging pores. ",0
mix cosmetics   ,img/products/na.jpg,29,Kajal ,Veggie La-Promise Kajal is one stroke highly pigmented kajal and free of paraffin and preservatives. It is suited for waterline and is waterproof. It has a velvety soft texture and also suited for those who wear contact lenses.,0
mix cosmetics   ,img/products/na.jpg,30,Eyeliner ,Veggie La-Promise Eyeliners are deep black and smooth. It glides on really well and its firm tip helps to apply easily on the eyelids.,0
mix skincare ,img/products/agecontrol.jpg,31,Age Control Kit,No Desc,0
mix skincare ,img/products/antipimplealoe.jpg,32,Anti Pimple Face Pack Male,No Desc,0
mix skincare ,img/products/antipimpletree.jpg,33,Anti Pimple Face Pack Female,No Desc,0
mix skincare ,img/products/brighteningkit.jpg,34,Brightening Kit,No Desc,0
mix skincare ,img/products/cleanser.jpg,35,Cleanser,No Desc,0
mix skincare ,img/products/collagen.jpg,36,Collagen Night Cream,No Desc,0
mix skincare ,img/products/daycream15.jpg,37,Day Cream,No Desc,0
mix skincare ,img/products/facialscrub.jpg,38,Facial Scrub,No Desc,0
mix skincare ,img/products/fairness.jpg,39,Fairness Cream,No Desc,0
mix skincare ,img/products/fairnessmulberry1.jpg,40,Spotless Fairness Cream,No Desc,0
mix skincare ,img/products/firming.jpg,41,Firming Pack,No Desc,0
mix skincare ,img/products/na.jpg,42,Fruit Facewash,No Desc,0
mix homecare ,img/products/na.jpg,43,Dishwash,"Veggie Dishwash Liquid is for all purpose dishwashing formula infused with lemon enabling anti bacterial properties, grease cutting power for faster removal.",0
mix homecare ,img/products/na.jpg,44,Floor Cleaner,"Veggie Floor Cleaner removes grease and ensure to clean any floor like marble, ceramic, mosaic, cement, granite, kotah stone, tiles, vinyl floor, etc. It maintains natural reflection, glow and provides shining to the floor instantly.",0
